Group,Subgroup,Language,State,Speakers,Margin of Error (Number of Speakers),"Speak English less than ""Very Well""",Margin of Error (Speak English Less than Very Well)
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Chinese,Illinois,"65,740","2,496","35,685","1,782"
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Hakka,Illinois,40,44,,
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Cantonese,Illinois,"13,905","1,248","7,615",791
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Mandarin,Illinois,"12,820",963,"5,565",701
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Fuchow,Illinois,35,49,20,36
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Formosan,Illinois,"2,395",468,"1,210",293
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Wu,Illinois,30,29,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Japanese,Japanese,Illinois,"12,611","1,007","6,079",731
ASIAN AND PACIFIC ISLAND LANGUAGES,Korean,Korean,Illinois,"49,323","2,166","27,057","1,532"
ASIAN AND PACIFIC ISLAND LANGUAGES,"Mon-Khmer, Cambodian","Mon-Khmer, Cambodian",Illinois,"3,650",865,"1,918",550
ASIAN AND PACIFIC ISLAND LANGUAGES,Hmong,Hmong,Illinois,415,215,118,71
ASIAN AND PACIFIC ISLAND LANGUAGES,Thai,Thai,Illinois,"7,266",823,"3,818",567
ASIAN AND PACIFIC ISLAND LANGUAGES,Laotian,Laotian,Illinois,"3,931",671,"2,298",429
ASIAN AND PACIFIC ISLAND LANGUAGES,Vietnamese,Vietnamese,Illinois,"20,907","1,510","12,489","1,085"
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Kirghiz,Illinois,145,165,130,158
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Karachay,Illinois,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Uighur,Illinois,260,199,155,139
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Azerbaijani,Illinois,115,160,55,75
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Turkish,Illinois,"4,325",721,"1,515",304
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Turkmen,Illinois,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Mongolian,Illinois,"2,185",591,"1,405",475
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Tungus,Illinois,105,121,75,88
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Dravidian,Illinois,60,61,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Gondi,Illinois,80,72,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Telugu,Illinois,"14,355","1,299","2,950",471
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Kannada,Illinois,"2,710",597,650,416
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Malayalam,Illinois,"13,980","1,358","4,680",754
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Tamil,Illinois,"10,265","1,192","1,975",402
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Munda,Illinois,80,85,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Tibetan,Illinois,240,168,125,125
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Burmese,Illinois,"1,975",565,"1,550",454
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Karen,Illinois,"1,000",398,730,329
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Kachin,Illinois,45,59,45,59
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Mien,Illinois,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Tagalog,Tagalog,Illinois,"80,655","2,889","22,988","1,523"
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Indonesian,Illinois,"1,135",228,345,120
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Achinese,Illinois,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Javanese,Illinois,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Malay,Illinois,"1,005",370,280,153
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Bisayan,Illinois,"1,175",358,320,173
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Sebuano,Illinois,"1,035",312,255,112
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Pangasinan,Illinois,40,61,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Ilocano,Illinois,435,226,220,116
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Bikol,Illinois,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Pampangan,Illinois,115,69,40,32
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Micronesian,Illinois,10,14,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Chamorro,Illinois,340,181,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Palau,Illinois,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Melanesian,Illinois,45,59,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Samoan,Illinois,190,93,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Tongan,Illinois,25,34,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Fijian,Illinois,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Marquesan,Illinois,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Hawaiian,Illinois,40,47,,
ALL OTHER LANGUAGES,Navajo,Navajo,Illinois,53,61,12,18
ALL OTHER LANGUAGES,Other Native North American languages,Inupik,Illinois,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Algonquian,Illinois,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Cree,Illinois,40,56,,
ALL OTHER LANGUAGES,Other Native North American languages,Delaware,Illinois,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Menomini,Illinois,30,30,,
ALL OTHER LANGUAGES,Other Native North American languages,Ojibwa,Illinois,30,33,,
ALL OTHER LANGUAGES,Other Native North American languages,Kuchin,Illinois,55,47,,
ALL OTHER LANGUAGES,Other Native North American languages,Yuma,Illinois,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Crow,Illinois,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Hidatsa,Illinois,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Dakota,Illinois,225,111,,
ALL OTHER LANGUAGES,Other Native North American languages,Winnebago,Illinois,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Kansa,Illinois,15,24,,
ALL OTHER LANGUAGES,Other Native North American languages,Omaha,Illinois,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Choctaw,Illinois,65,46,,
ALL OTHER LANGUAGES,Other Native North American languages,Oneida,Illinois,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Cherokee,Illinois,60,33,,
ALL OTHER LANGUAGES,Other Native North American languages,Caddo,Illinois,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Tiwa,Illinois,,,,
ALL OTHER LANGUAGES,Other Native North American languages,American Indian,Illinois,75,53,,
ALL OTHER LANGUAGES,Hungarian,Hungarian,Illinois,"2,928",434,"1,137",290
ALL OTHER LANGUAGES,Arabic,Arabic,Illinois,"56,524","3,451","18,865","1,775"
ALL OTHER LANGUAGES,Hebrew,Hebrew,Illinois,"6,666",886,880,284
ALL OTHER LANGUAGES,African languages,Amharic,Illinois,"3,985",756,"1,495",467
ALL OTHER LANGUAGES,African languages,Berber,Illinois,60,69,,
ALL OTHER LANGUAGES,African languages,Chadic,Illinois,395,214,,
ALL OTHER LANGUAGES,African languages,Cushite,Illinois,"1,065",473,705,417
ALL OTHER LANGUAGES,African languages,Sudanic,Illinois,525,363,95,80
ALL OTHER LANGUAGES,African languages,Nilotic,Illinois,70,53,25,30
ALL OTHER LANGUAGES,African languages,Swahili,Illinois,"1,925",632,335,237
ALL OTHER LANGUAGES,African languages,Bantu,Illinois,"1,675",457,290,104
ALL OTHER LANGUAGES,African languages,Mande,Illinois,500,333,85,103
ALL OTHER LANGUAGES,African languages,Fulani,Illinois,590,258,265,154
ALL OTHER LANGUAGES,African languages,Gur,Illinois,,,,
ALL OTHER LANGUAGES,African languages,"Kru, Ibo, Yoruba",Illinois,"17,940","1,670","3,955",803
ALL OTHER LANGUAGES,African languages,Efik,Illinois,185,130,,
ALL OTHER LANGUAGES,African languages,Mbum (and related),Illinois,,,,
ALL OTHER LANGUAGES,African languages,African,Illinois,545,413,410,407
ALL OTHER LANGUAGES,Other and unspecified languages,Finnish,Illinois,510,189,70,63
ALL OTHER LANGUAGES,Other and unspecified languages,Estonian,Illinois,330,140,65,53
ALL OTHER LANGUAGES,Other and unspecified languages,Caucasian,Illinois,265,140,125,79
ALL OTHER LANGUAGES,Other and unspecified languages,Basque,Illinois,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Syriac,Illinois,"14,365","1,936","6,165","1,041"
ALL OTHER LANGUAGES,Other and unspecified languages,Mayan languages,Illinois,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Arawakian,Illinois,175,184,,
ALL OTHER LANGUAGES,Other and unspecified languages,Tupi-Guarani,Illinois,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Uncodable,Illinois,110,64,,
ENGLISH,English,English,Indiana,"5,588,460","5,499",,
SPANISH AND SPANISH CREOLE,Spanish and Spanish Creole,Spanish,Indiana,"277,380","3,508","123,270","3,124"
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",French,Indiana,"13,770","1,126","3,110",490
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",Patois,Indiana,125,125,,
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",Cajun,Indiana,,,,
OTHER INDO-EUROPEAN LANGUAGES,French Creole,French Creole,Indiana,"1,438",432,375,251
OTHER INDO-EUROPEAN LANGUAGES,Italian,Italian,Indiana,"3,574",550,448,138
OTHER INDO-EUROPEAN LANGUAGES,Portuguese (incl. Portuguese Creole),Portuguese,Indiana,"1,880",472,510,222
OTHER INDO-EUROPEAN LANGUAGES,German (incl. Luxembourgian),German,Indiana,"35,400","1,838","8,100",953
OTHER INDO-EUROPEAN LANGUAGES,German (incl. Luxembourgian),Luxembourgian,Indiana,,,,
OTHER INDO-EUROPEAN LANGUAGES,Yiddish,Yiddish,Indiana,185,124,20,30
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Pennsylvania Dutch,Indiana,"15,895","1,391","4,600",631
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Dutch,Indiana,"7,950",727,"2,595",465
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Afrikaans,Indiana,275,164,,
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Swedish,Indiana,220,92,,
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Danish,Indiana,410,243,,
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Norwegian,Indiana,120,67,,
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Icelandic,Indiana,130,169,,
OTHER INDO-EUROPEAN LANGUAGES,Greek,Greek,Indiana,"4,391",670,"1,085",280
OTHER INDO-EUROPEAN LANGUAGES,Russian,Russian,Indiana,"4,835",879,"1,980",482
OTHER INDO-EUROPEAN LANGUAGES,Polish,Polish,Indiana,"4,965",620,"1,361",323
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbocroatian,Indiana,"2,705",593,"1,260",330
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Croatian,Indiana,780,270,230,119
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbian,Indiana,"3,780",665,"1,330",334
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Bielorussian,Indiana,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Ukrainian,Indiana,"1,005",286,330,132
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Czech,Indiana,350,136,30,26
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Lusatian,Indiana,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Slovak,Indiana,435,206,40,27
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Bulgarian,Indiana,420,225,30,24
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Macedonian,Indiana,"2,875",718,"1,280",392
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Slovene,Indiana,55,36,,
OTHER INDO-EUROPEAN LANGUAGES,Armenian,Armenian,Indiana,122,86,28,37
OTHER INDO-EUROPEAN LANGUAGES,Persian,Persian,Indiana,"1,480",314,423,169
OTHER INDO-EUROPEAN LANGUAGES,Hindi,Hindi,Indiana,"7,225","1,061","1,762",485
OTHER INDO-EUROPEAN LANGUAGES,Gujarati,Gujarati,Indiana,"4,007",646,"1,343",341
OTHER INDO-EUROPEAN LANGUAGES,Urdu,Urdu,Indiana,"3,573",668,864,265
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,India,Indiana,"1,255",441,340,194
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Bengali,Indiana,"1,155",334,250,121
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Panjabi,Indiana,"5,130",876,"1,755",476
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Marathi,Indiana,860,307,130,86
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Bihari,Indiana,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Oriya,Indiana,45,69,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Assamese,Indiana,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Nepali,Indiana,245,176,160,110
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Sindhi,Indiana,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Pakistan,Indiana,55,67,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Sinhalese,Indiana,345,159,90,79
OTHER INDO-EUROPEAN LANGUAGES,Other Indic languages,Romany,Indiana,50,64,45,52
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Jamaican Creole,Indiana,85,114,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Krio,Indiana,50,41,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Pidgin,Indiana,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Catalonian,Indiana,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Romanian,Indiana,"1,145",357,195,110
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Welsh,Indiana,,,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Irish Gaelic,Indiana,230,82,45,34
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Scottic Gaelic,Indiana,45,52,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Albanian,Indiana,180,144,,
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Lithuanian,Indiana,700,289,190,104
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Latvian,Indiana,300,143,105,71
OTHER INDO-EUROPEAN LANGUAGES,Other Indo-European languages,Pashto,Indiana,115,117,,
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Chinese,Indiana,"18,560","1,437","11,320","1,179"
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Cantonese,Indiana,"1,035",296,500,192
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Mandarin,Indiana,"3,020",459,"1,390",247
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Fuchow,Indiana,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Formosan,Indiana,460,190,195,108
ASIAN AND PACIFIC ISLAND LANGUAGES,"Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",Wu,Indiana,40,45,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Japanese,Japanese,Indiana,"5,857",885,"2,605",622
ASIAN AND PACIFIC ISLAND LANGUAGES,Korean,Korean,Indiana,"7,588",898,"3,814",578
ASIAN AND PACIFIC ISLAND LANGUAGES,"Mon-Khmer, Cambodian","Mon-Khmer, Cambodian",Indiana,"1,060",424,478,235
ASIAN AND PACIFIC ISLAND LANGUAGES,Hmong,Hmong,Indiana,237,214,171,211
ASIAN AND PACIFIC ISLAND LANGUAGES,Thai,Thai,Indiana,975,258,364,136
ASIAN AND PACIFIC ISLAND LANGUAGES,Laotian,Laotian,Indiana,670,290,337,161
ASIAN AND PACIFIC ISLAND LANGUAGES,Vietnamese,Vietnamese,Indiana,"4,951",702,"3,103",522
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Kazakh,Indiana,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Uighur,Indiana,165,163,80,72
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Azerbaijani,Indiana,60,76,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Turkish,Indiana,655,231,285,197
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Turkmen,Indiana,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Mongolian,Indiana,65,72,20,24
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Dravidian,Indiana,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Gondi,Indiana,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Telugu,Indiana,"2,130",515,490,202
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Kannada,Indiana,495,226,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Malayalam,Indiana,520,260,70,72
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Tamil,Indiana,"1,780",465,205,105
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Tibetan,Indiana,60,64,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Burmese,Indiana,"5,035",778,"4,320",741
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Karen,Indiana,460,345,460,345
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Asian languages,Kachin,Indiana,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Tagalog,Tagalog,Indiana,"5,667",672,"1,755",321
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Indonesian,Indiana,565,200,240,116
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Malay,Indiana,205,151,50,58
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Bisayan,Indiana,370,138,105,70
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Sebuano,Indiana,180,104,60,49
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Ilocano,Indiana,40,48,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Pampangan,Indiana,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Chamorro,Indiana,65,70,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Marshallese,Indiana,35,44,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Melanesian,Indiana,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Samoan,Indiana,55,39,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Fijian,Indiana,10,15,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Maori,Indiana,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,Other Pacific Island languages,Hawaiian,Indiana,30,29,,
ALL OTHER LANGUAGES,Navajo,Navajo,Indiana,133,82,25,30
ALL OTHER LANGUAGES,Other Native North American languages,Algonquian,Indiana,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Blackfoot,Indiana,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Cheyenne,Indiana,40,51,,
ALL OTHER LANGUAGES,Other Native North American languages,French Cree,Indiana,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Miami,Indiana,35,48,,
ALL OTHER LANGUAGES,Other Native North American languages,Potawatomi,Indiana,30,51,,
ALL OTHER LANGUAGES,Other Native North American languages,Shawnee,Indiana,25,31,,
ALL OTHER LANGUAGES,Other Native North American languages,Coeur d'Alene,Indiana,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Quinault,Indiana,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Apache,Indiana,50,48,,
ALL OTHER LANGUAGES,Other Native North American languages,Dakota,Indiana,160,91,,
ALL OTHER LANGUAGES,Other Native North American languages,Winnebago,Indiana,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Choctaw,Indiana,175,125,,
ALL OTHER LANGUAGES,Other Native North American languages,Cherokee,Indiana,70,45,,
ALL OTHER LANGUAGES,Other Native North American languages,Comanche,Indiana,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Pima,Indiana,,,,
ALL OTHER LANGUAGES,Other Native North American languages,Tewa,Indiana,,,,
ALL OTHER LANGUAGES,Other Native North American languages,American Indian,Indiana,20,21,,
ALL OTHER LANGUAGES,Hungarian,Hungarian,Indiana,995,231,162,73
ALL OTHER LANGUAGES,Arabic,Arabic,Indiana,"9,017","1,037","3,513",647
ALL OTHER LANGUAGES,Hebrew,Hebrew,Indiana,"1,231",373,244,205
ALL OTHER LANGUAGES,African languages,Amharic,Indiana,"1,805",669,550,203
ALL OTHER LANGUAGES,African languages,Chadic,Indiana,35,32,,
ALL OTHER LANGUAGES,African languages,Cushite,Indiana,285,213,120,95
ALL OTHER LANGUAGES,African languages,Nilo-Hamitic,Indiana,,,,
ALL OTHER LANGUAGES,African languages,Swahili,Indiana,"1,510",441,140,100
ALL OTHER LANGUAGES,African languages,Bantu,Indiana,960,340,100,93
ALL OTHER LANGUAGES,African languages,Mande,Indiana,130,103,80,65
ALL OTHER LANGUAGES,African languages,Fulani,Indiana,215,195,35,50
ALL OTHER LANGUAGES,African languages,Gur,Indiana,,,,
ALL OTHER LANGUAGES,African languages,"Kru, Ibo, Yoruba",Indiana,"3,970",967,920,481
ALL OTHER LANGUAGES,African languages,Efik,Indiana,,,,
ALL OTHER LANGUAGES,African languages,African,Indiana,310,231,40,41
ALL OTHER LANGUAGES,Other and unspecified languages,Finnish,Indiana,125,72,,
ALL OTHER LANGUAGES,Other and unspecified languages,Estonian,Indiana,60,40,,
ALL OTHER LANGUAGES,Other and unspecified languages,Caucasian,Indiana,15,13,,
ALL OTHER LANGUAGES,Other and unspecified languages,Syriac,Indiana,20,21,,
ALL OTHER LANGUAGES,Other and unspecified languages,Mayan languages,Indiana,70,98,,
ALL OTHER LANGUAGES,Other and unspecified languages,Oto - Manguen,Indiana,,,,
ALL OTHER LANGUAGES,Other and unspecified languages,Arawakian,Indiana,30,34,30,34
ALL OTHER LANGUAGES,Other and unspecified languages,Uncodable,Indiana,90,47,,
ENGLISH,English,English,Iowa,"2,657,355","2,468",,
SPANISH AND SPANISH CREOLE,Spanish and Spanish Creole,Spanish,Iowa,"113,175","1,810","50,000","1,482"
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",French,Iowa,"5,440",612,995,292
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",Patois,Iowa,,,,
OTHER INDO-EUROPEAN LANGUAGES,"French (incl. Patois, Cajun)",Cajun,Iowa,,,,
OTHER INDO-EUROPEAN LANGUAGES,French Creole,French Creole,Iowa,31,30,,
OTHER INDO-EUROPEAN LANGUAGES,Italian,Italian,Iowa,"1,083",211,166,64
OTHER INDO-EUROPEAN LANGUAGES,Portuguese (incl. Portuguese Creole),Portuguese,Iowa,670,183,120,61
OTHER INDO-EUROPEAN LANGUAGES,German (incl. Luxembourgian),German,Iowa,"12,465",926,"2,615",390
OTHER INDO-EUROPEAN LANGUAGES,German (incl. Luxembourgian),Luxembourgian,Iowa,20,14,,
OTHER INDO-EUROPEAN LANGUAGES,Yiddish,Yiddish,Iowa,253,150,86,97
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Pennsylvania Dutch,Iowa,"2,015",563,875,307
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Dutch,Iowa,"1,630",323,200,89
OTHER INDO-EUROPEAN LANGUAGES,Other West Germanic languages,Afrikaans,Iowa,125,102,50,62
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Swedish,Iowa,220,93,25,26
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Danish,Iowa,425,145,40,30
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Norwegian,Iowa,565,177,55,30
OTHER INDO-EUROPEAN LANGUAGES,Scandinavian languages,Icelandic,Iowa,55,45,,
OTHER INDO-EUROPEAN LANGUAGES,Greek,Greek,Iowa,562,250,69,44
OTHER INDO-EUROPEAN LANGUAGES,Russian,Russian,Iowa,"1,936",436,637,158
OTHER INDO-EUROPEAN LANGUAGES,Polish,Polish,Iowa,522,130,147,75
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbocroatian,Iowa,"7,965",923,"3,795",583
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Croatian,Iowa,265,135,110,118
OTHER INDO-EUROPEAN LANGUAGES,Serbo-Croatian languages,Serbian,Iowa,405,238,100,73
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Ukrainian,Iowa,595,220,315,129
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Czech,Iowa,620,124,100,50
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Slovak,Iowa,115,72,40,45
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Bulgarian,Iowa,60,52,45,43
OTHER INDO-EUROPEAN LANGUAGES,Other Slavic languages,Macedonian,Iowa,,,,
OTHER INDO-EUROPEAN LANGUAGES,Armenian,Armenian,Iowa,122,94,71,82
OTHER INDO-EUROPEAN LANGUAGES,Persian,Persian,Iowa,327,130,107,82
OTHER INDO-EUROPEAN LANGUAGES,Hindi,Hindi,Iowa,"2,628",485,924,238
OTHER INDO-EUROPEAN LANGUAGES,Gujarati,Gujarati,Iowa,532,238,169,109
